"name","address","city","state","zipcode","county","latitude","longitude","adp","month","year","fiscalyear","inspectionmonth","inspectionyear","administrativesegregation","calculatedforce","chemicalforce","detainee_detainee_physassault_noseriousinj","detainee_detainee_physassault_seriousinj","detainee_staff_physassault_noseriousinj","detainee_staff_physassault_seriousinj","disciplinaryappeals","disciplinaryappeals_detaineefavor","disciplinaryinfractions","disciplinaryinfractions_guilty","disciplinarysegregation","force_seriousinjury","hungerstrikes","immediateforce","infectiousdiseasesconfirmed","infectiousdiseasesreported","medicalobservation","medicalsegregation","mentalhealthobservation","mentalhealthsegregation","nonlethalweaponsincidents","offsiteemergencycare","offsitemedicalcare","offsitementalhealthcare","outsidemedicalreferrals","pointrestraints","sanctionsover60days","sexual_detaineedetainee","sexual_detaineedetainee_sub","sexual_detaineeinmate","sexual_detaineeinmate_sub","sexual_detaineestaff","sexual_detaineestaff_sub","sexual_inmatedetainee","sexual_inmatedetainee_sub","sexual_staffdetainee","sexual_staffdetainee_sub","sickcallencounters","sickcallrequests","stripsearches","suicideattempts","suicideconstantmentalhealthwatch","disciplinary_filed","disciplinary_sub","food_filed","food_sub","force_filed","force_sub","library_filed","library_sub","mail_filed","mail_sub","medical_filed","medical_sub","other_filed","other_sub","prop_filed","prop_sub","safety_filed","safety_sub","sanitation_filed","sanitation_sub","sexualassault_sub","sexualassult_filed","solitary_filed","solitary_sub","staffconduct_filed","staffconduct_sub","visitation_filed","visitation_sub"
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1605.636363636,11,2019,2020,11,2020,68,0,1,18,0,0,0,0,0,8,8,50,0,0,2,16,14,36,0,36,0,0,38,32,2,556,0,0,2,0,0,0,0,0,0,0,0,0,2764,2966,0,0,66,0,0,1,0,0,0,7,1,2,0,5,0,14,1,1,0,0,0,0,0,0,0,1,1,4,1,2,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,944.693954889287,7,2020,2020,11,2020,92,0,2,14,4,0,0,0,0,28,24,28,0,4,5,0,0,52,0,18,0,0,18,28,4,446,0,0,4,0,0,0,0,0,0,0,1,0,1814,2106,0,4,84,0,0,3,1,0,0,1,0,0,0,14,7,13,3,4,1,1,0,3,0,0,2,0,0,7,2,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,133.140736894371,6,2021,2021,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,124.748794956103,7,2021,2021,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1713.397570364,7,2019,2019,11,2019,36,0,1,9,0,0,0,1,0,13,11,13,0,4,3,6,6,76,0,46,0,0,22,24,4,370,0,0,0,0,0,0,1,0,0,0,0,0,2562,2372,0,12,14,0,0,2,1,0,0,3,1,1,0,8,0,7,4,12,8,0,0,0,0,0,4,0,0,16,3,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,111.475548525729,10,2021,2022,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1627.91282506025,5,2019,2019,11,2019,26,0,1,7,0,1,0,2,0,7,7,9,0,2,2,8,8,90,6,72,0,0,24,24,8,416,0,0,0,0,0,0,1,0,0,0,0,0,3284,3320,1,6,10,2,0,0,0,0,0,1,0,0,0,6,1,4,2,2,1,0,0,2,0,0,2,0,0,4,1,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1653.20758549671,3,2020,2020,11,2020,26,3,0,14,2,0,0,0,0,24,16,28,0,2,0,0,0,48,0,24,0,0,50,24,2,710,0,0,2,0,0,0,0,0,0,0,2,0,2836,3170,0,0,50,1,0,5,2,0,0,6,2,1,1,21,1,15,2,8,3,6,5,3,1,0,5,1,0,7,2,1,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,1731.04246356525,6,2019,2019,11,2019,31,0,0,5,0,5,0,1,1,16,12,15,0,0,2,0,0,42,0,40,0,0,18,16,10,338,0,0,1,0,0,0,1,0,0,0,0,0,2808,2926,4,0,4,0,0,1,0,0,0,3,0,1,0,7,1,6,1,2,1,0,0,0,0,0,1,0,0,2,0,0,0
"ADELANTO ICE PROCESSING CENTER","10250 RANCHO ROAD","Adelanto","CA",92301,"San Bernardino",34.559424,-117.442225,119.394437422829,9,2021,2021,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
